31,autoclave-sterivap.PNG,AUTOCLAVE  ,BTM,ST-5,N.I,EMCO3896,104,2,AUTOCLAVE – SALA DE OPERACIONES 4 PISO-ST-5.xlsx,120,N.I,N.I,1,N.I,1,22/06/2019
32,cuarto-frio.png,CUARTO FRIO,N.I,163CJO1BTOA50GSIR,N.I,N.I,197,4,CUARTO FRIO-163CJO1BTOA50GSIR.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
33,cuarto-frio.png,CUARTO FRIO,N.I,200332,N.I,MEQ00184,39,4,CUARTO FRIO-200332.xlsx,120,N.I,N.I,8,N.I,1,0000/00/00
34,cuarto-frio.png,CUARTO FRIO,N.I,200333,N.I,MEQ00185,39,4,CUARTO FRIO-200333.xlsx,120,N.I,N.I,8,N.I,1,0000/00/00
35,cuarto-frio.png,CUARTO FRIO,N.I,200331,N.I,MEQ00183,39,4,CUARTO FRIO-200331.xlsx,120,N.I,N.I,8,N.I,1,0000/00/00
36,cuarto-frio.PNG,CUARTO FRIO,N.I,04C261798,N.I,208458,164,4,CUARTO FRIO-04C261798.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
37,cuarto-frio.PNG,CUARTO FRIO ,GRIVAN,MO6J097900,N.I,N.I,47,2,CUARTO FRIO-MO6J097900.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
38,cuarto-frio.PNG,CUARTO FRIO,GRIVAN,M06D087698,N.I,N.I,47,2,CUARTO FRIO-M06D087698.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
39,cuarto-frio.png,CUARTO FRIO,GRIVAN,M06L112120,N.I,N.I,47,2,CUARTO FRIO-M06L112120.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
40,cuarto-frio.png,CUARTO FRIO,GRIVAN,MO6J097979,N.I,N.I,47,2,CUARTO FRIO-MO6J097979.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
41,cuarto-frio.png,CUARTO FRIO,GRIVAN,K973850,N.I,N.I,176,2,CUARTO FRIO-K973850.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
42,cuarto-frio.png,CUARTO FRIO,GRIVAN,UCR2L441CAA,N.I,N.I,176,2,CUARTO FRIO-UCR2L441CAA.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
43,ascensor.jpg,ASCENSORES,SCHINDLER,02614-0,N.I,N.I,144,0,ASCENSORES-02614-0.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
44,ascensor.jpg,ASCENSORES,SCHINDLER,63501-4,N.I,N.I,168,0,ASCENSORES-63501-4.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
45,ascensor.jpg,ASCENSORES,SCHINDLER,63502-2,N.I,N.I,168,0,ASCENSORES-63502-2.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
46,ascensor.jpg,ASCENSORES,SCHINDLER,32801-4,N.I,N.I,N.I,0,ASCENSORES-32801-4.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
47,ascensor.jpg,ASCENSORES,SCHINDLER,32802-2,N.I,N.I,165,0,ASCENSORES-32802-2.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
48,ascensor.jpg,ASCENSORES,OTIS,211443,N.I,N.I,186,0,ASCENSORES-211443.xlsx,120,N.I,N.I,1,N.I,1,24/05/2014
49,ascensor.jpg,ASCENSORES,OTIS,211444,N.I,N.I,183,0,ASCENSORES-211444.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
50,ascensor.jpg,ASCENSORES,OTIS,211445,N.I,N.I,166,0,ASCENSORES-211445.xlsx,120,N.I,N.I,1,N.I,1,8/5/2014
51,chevrolet.jfif,VEHICULOS DE TRANSPORTE,CHEVROLET,N.I,N.I,ONL 115,144,2,VEHICULOS DE TRANSPORTE-N.I.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
52,chevrolet.jfif,VEHICULOS DE TRANSPORTE,CHEVROLET,N.I,N.I,ONL 099,144,2,VEHICULOS DE TRANSPORTE-N.I.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
53,hyundai starex.jpg,VEHICULOS DE TRANSPORTE,HYUNDAI,D4BB7436051,N.I,ONI998,144,2,VEHICULOS DE TRANSPORTE-D4BB7436051.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
54,hyundai starex.jpg,VEHICULOS DE TRANSPORTE,HYUNDAI,D4BB7435730,N.I,ONI996,144,2,VEHICULOS DE TRANSPORTE-D4BB7435730.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
55,hilux 2000.jpg,VEHICULOS DE TRANSPORTE,HYUNDAI,2224790,N.I,OTM020,195,2,VEHICULOS DE TRANSPORTE-2224790.xlsx,120,N.I,N.I,1,N.I,1,0000/00/00
56,iveco_daily_3510_mt_2800cc_4x2_urbint_19_2110116472774827362.jpg,VEHICULOS DE TRANSPORTE,IVECO,3355,N.I,ONI876,144,2,VEHICULOS DE TRANSPORTE-3355.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
57,iveco_daily_3510_mt_2800cc_4x2_urbint_19_2110116472774827362.jpg,VEHICULOS DE TRANSPORTE,IVECO,3292,N.I,ONI917,144,2,VEHICULOS DE TRANSPORTE-3292.xlsx,120,N.I,N.I,2,N.I,1,0000/00/00
